Link Name,Target URL,Full UTM URL
Github Readme Built with AF→ cloudsecurity-repo,https://agentfield.ai/github/cloudsecurity/,https://agentfield.ai/github/cloudsecurity/?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-cloudsec-repo
Github Readme Built with AF → swe-af-repo,https://agentfield.ai/github/swe-af/,https://agentfield.ai/github/swe-af/?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-swe-af-repo
Github Readme Built with AF → deepresearch-repo,https://agentfield.ai/github/deepresearch/,https://agentfield.ai/github/deepresearch/?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-deepresearch-repo
Github Readme Built with AF → mongodb-repo,https://agentfield.ai/github/mongodb/,https://agentfield.ai/github/mongodb/?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-mongodb-repo
Github Readme Built with AF → sec-af-repo,https://agentfield.ai/github/sec-af/,https://agentfield.ai/github/sec-af/?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-sec-af-repo
Github Readme What You Get → reasoners,https://agentfield.ai/docs/build/building-blocks/reasoners,https://agentfield.ai/docs/build/building-blocks/reasoners?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-reasoners
Github Readme What You Get → structured-ai,https://agentfield.ai/docs/reference/sdks/python,https://agentfield.ai/docs/reference/sdks/python?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-structured-ai
Github Readme What You Get → harness,https://agentfield.ai/docs/build/intelligence/harness,https://agentfield.ai/docs/build/intelligence/harness?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-harness
Github Readme What You Get → cross-agent-calls,https://agentfield.ai/docs/build/coordination/cross-agent-calls,https://agentfield.ai/docs/build/coordination/cross-agent-calls?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-cross-agent-calls
Github Readme What You Get → discovery,https://agentfield.ai/docs/reference/sdks/python,https://agentfield.ai/docs/reference/sdks/python?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-discovery
Github Readme What You Get → memory,https://agentfield.ai/docs/build/coordination/shared-memory,https://agentfield.ai/docs/build/coordination/shared-memory?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-memory
Github Readme What You Get → async-execution,https://agentfield.ai/docs/build/execution/async,https://agentfield.ai/docs/build/execution/async?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-async-execution
Github Readme What You Get → human-in-the-loop,https://agentfield.ai/docs/build/execution/human-in-the-loop,https://agentfield.ai/docs/build/execution/human-in-the-loop?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-human-in-the-loop
Github Readme What You Get → canary-deployments,https://agentfield.ai/docs/learn/features,https://agentfield.ai/docs/learn/features?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-canary-deployments
Github Readme What You Get → observability,https://agentfield.ai/docs/learn/features,https://agentfield.ai/docs/learn/features?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-observability
Github Readme What You Get → crypto-identity,https://agentfield.ai/docs/build/governance/identity,https://agentfield.ai/docs/build/governance/identity?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-crypto-identity
Github Readme What You Get → verifiable-credentials,https://agentfield.ai/docs/build/governance/credentials,https://agentfield.ai/docs/build/governance/credentials?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-verifiable-credentials
Github Readme What You Get → policy-enforcement,https://agentfield.ai/docs/build/governance/policy,https://agentfield.ai/docs/build/governance/policy?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-policy-enforcement
Github Readme The AI Backend → docs,https://agentfield.ai/docs/learn,https://agentfield.ai/docs/learn?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-docs
Github Readme The AI Backend → quickstart,https://agentfield.ai/docs/learn/quickstart,https://agentfield.ai/docs/learn/quickstart?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-quickstart
Github Readme The AI Backend → python-sdk,https://agentfield.ai/docs/reference/sdks/python,https://agentfield.ai/docs/reference/sdks/python?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-python-sdk
Github Readme The AI Backend → go-sdk,https://agentfield.ai/docs/reference/sdks/go,https://agentfield.ai/docs/reference/sdks/go?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-go-sdk
Github Readme The AI Backend → typescript-sdk,https://agentfield.ai/docs/reference/sdks/typescript,https://agentfield.ai/docs/reference/sdks/typescript?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-typescript-sdk
Github Readme The AI Backend → rest-api,https://agentfield.ai/docs/reference/sdks/rest-api,https://agentfield.ai/docs/reference/sdks/rest-api?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-rest-api
Github Readme The AI Backend → read-full-docs,https://agentfield.ai/docs/learn,https://agentfield.ai/docs/learn?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-read-full-docs
Github Readme The AI Backend → deploy,https://agentfield.ai/docs/reference/deploy,https://agentfield.ai/docs/reference/deploy?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-deploy
Github Readme Learn More → blog-ai-backend,https://agentfield.ai/blog/ai-backend,https://agentfield.ai/blog/ai-backend?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-blog-ai-backend
Github Readme Learn More → blog-iam,https://agentfield.ai/blog/iam-ai-backends,https://agentfield.ai/blog/iam-ai-backends?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-blog-iam
Github Readme Learn More → blog-what-is-harness-orchestration,https://agentfield.ai/blog/what-is-harness-orchestration,https://agentfield.ai/blog/what-is-harness-orchestration?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-blog-what-is-harness-orchestration
Github Readme Learn More → blog-harness-black-box,https://agentfield.ai/blog/harness-as-black-box,https://agentfield.ai/blog/harness-as-black-box?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-blog-harness-black-box
Github Readme Learn More → blog-harness-membrane,https://agentfield.ai/blog/harness-as-membrane,https://agentfield.ai/blog/harness-as-membrane?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-blog-harness-membrane
Github Readme Learn More → vs-frameworks,https://agentfield.ai/docs/learn/vs-frameworks,https://agentfield.ai/docs/learn/vs-frameworks?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-vs-frameworks
Github Readme Learn More → full-docs,https://agentfield.ai/docs/learn,https://agentfield.ai/docs/learn?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-full-docs
Github Readme The AI Backend → harness-banner,https://agentfield.ai/docs/build/intelligence/harness,https://agentfield.ai/docs/build/intelligence/harness?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-harness-banner
Github Readme The AI Backend → prompt-to-production,https://agentfield.ai/docs/learn/build-with-claude-code,https://agentfield.ai/docs/learn/build-with-claude-code?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-prompt-to-production
Github Readme What You Get → full-features,https://agentfield.ai/docs/learn/features,https://agentfield.ai/docs/learn/features?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-full-features
Github Readme What You Get → explore-features,https://agentfield.ai/docs/learn/features,https://agentfield.ai/docs/learn/features?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-explore-features
Github Readme Built with AF → pr-af-repo,https://agentfield.ai/pr-af/,https://agentfield.ai/pr-af/?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-pr-af-repo
Github Readme Built with AF → see-all-examples,https://agentfield.ai/examples,https://agentfield.ai/examples?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-see-all-examples
Github Readme Architecture → architecture,https://agentfield.ai/docs/learn/architecture,https://agentfield.ai/docs/learn/architecture?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-architecture
Github Readme Community → community-docs,https://agentfield.ai/docs/learn,https://agentfield.ai/docs/learn?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-community-docs
Github Readme Community → community-examples,https://agentfield.ai/docs/learn/examples,https://agentfield.ai/docs/learn/examples?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-community-examples
Github Readme The AI Backend → discord-header-badge,https://agentfield.ai/discord,https://agentfield.ai/discord?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-discord-header-badge
Github Readme The AI Backend → discord-nav,https://agentfield.ai/discord,https://agentfield.ai/discord?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-discord-nav
Github Readme Community → discord-community-badge,https://agentfield.ai/discord,https://agentfield.ai/discord?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-discord-community-badge
Github Readme Community → x-follow,https://agentfield.ai/x,https://agentfield.ai/x?utm_source=github-readme&utm_campaign=github-readme&utm_id=github-readme-x-follow
